Choice1,Choice2,Choice3,Choice4,Answer,Original,Interrogative,Declarative,Imperative
during a solar eclipse,spring season has begun,a hurricane is approaching,in late September north of the equator or late March south of the equator,3,The natural illumination outside will be for shorter and shorter periods of time per day when,When will the natural illumination outside be for shorter and shorter periods of time per day?,The natural illumination outside will be for shorter and shorter periods of time per day when...,Identify when the natural illumination outside will decrease in duration per day.
a cup of dirt,a cup of tacos,a cup of plasma,a cup of Earl Grey,3,Which is likely to boil?,What is likely to boil?,A substance is likely to boil when...,Choose what is likely to boil.
Stopwatch,Thermometer,Measuring cup,Magnifying glass,3,Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?,What would best help Tony to count the spots on a ladybug?,What would best help Tony to count the spots on a ladybug is...,Identify the best method for Tony to count the spots on a ladybug.
something to keep it interested,a source to propel it forward,something to give it hope,something to consider doing,1,"If something is alive, then it requires",What does something that is alive require?,Something that is alive requires...,Choose something that what is alive requires.
a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy,0,Which best describes transportation technology?,What best describes transportation technology?,A transportation technology is best described by...,Identify which of the following best characterizes transportation technology.
a rock used to make fires,a rock traveling through space,a rock far below the ground,a rock is hit by the sun's rays,0,What rock is likely to be more mechanically weathered?,Which rock is likely to be more mechanically weathered?,A rock that is more likely to be mechanically weathered is one that is...,Identify which rock is more likely to undergo mechanical weathering.
make cookies,Sing songs,smile,an everlasting supply,3,The main reason people want to use wind as an energy source is because there is,What is the main reason people want to use wind as an energy source?,The main reason people want to use wind as an energy source is because there is...,Identify the main reason people want to use wind as an energy source.
Magnetic Force,Speed,Contact Force,Non-Contact Force,3,Gravity is an example of which?,What is gravity an example of?,Gravity is an example of...,Choose what gravity is an example of.
anger,magic,passion,solid bulk,3,The mantle is,What is the mantle?,The mantle is...,Identify what the mantle is.
fat,sweat,motion and heat,protein,2,running turns carbohydrates into,What does running turn carbohydrates into?,Running turns carbohydrates into...,Choose what running converts carbohydrates into.
Air,Basil,Apple Juice,Metal,1,The most popular plant in Italy is,What is the most popular plant in Italy?,The most popular plant in Italy is...,Identify the most popular plant in Italy.
it needs to be cleaned,none of these,it needs to be baptized,it needs to be invented,3,"in order for utility of a tool to occur, what has to happen first?",What has to happen first for the utility of a tool to occur?,"For the utility of a tool to occur, there must first be...",Choose what must happen first for a tool to be utilized.
dirty,killed by others,in dirt,near worms,1,"Moles are underground a lot of the time, and since few animals live there, they are unlikely to be","Why are moles unlikely to be what, given they are underground a lot of the time and few animals live there?","Moles are underground a lot of the time, and since few animals live there, they are unlikely to be...","Considering their frequent underground presence and the limited number of animals living there, identify why moles are unlikely to be."
to absorb nutrients and gases from blood,to extract energy from food to sustain life,to produce food using water and carbon dioxide,to give shape and structural support to an organism,1,Which of these is a function of all cells?,What is a function of all cells?,A function of all cells is to...,Choose a function common to all cells.
