choice1,choice2,choice3,choice4,answer,question
during a solar eclipse,spring season has begun,a hurricane is approaching,in late September north of the equator or late March south of the equator,3,The natural illumination outside will be for shorter and shorter periods of time per day when
a cup of dirt,a cup of tacos,a cup of plasma,a cup of Earl Grey,3,Which is likely to boil?
Stopwatch,Thermometer,Measuring cup,Magnifying glass,3,Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?
something to keep it interested,a source to propel it forward,something to give it hope,something to consider doing,1,"If something is alive, then it requires"
a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy,0,Which best describes transportation technology?
a rock used to make fires,a rock traveling through space,a rock far below the ground,a rock is hit by the sun's rays,0,What rock is likely to be more mechanically weathered?
make cookies,Sing songs,smile,an everlasting supply,3,The main reason people want to use wind as an energy source is because there is
Magnetic Force,Speed,Contact Force,Non-Contact Force,3,Gravity is an example of which?
anger,magic,passion,solid bulk,3,The mantle is
fat,sweat,motion and heat,protein,2,running turns carbohydrates into
Air,Basil,Apple Juice,Metal,1,The most popular plant in Italy is
it needs to be cleaned,none of these,it needs to be baptized,it needs to be invented,3,"in order for utility of a tool to occur, what has to happen first?"
dirty,killed by others,in dirt,near worms,1,"Moles are underground a lot of the time, and since few animals live there, they are unlikely to be"
to absorb nutrients and gases from blood,to extract energy from food to sustain life,to produce food using water and carbon dioxide,to give shape and structural support to an organism,1,Which of these is a function of all cells?
use it to bathe in,eat it to die quickly,freeze it to make ice cubes,ignite it to warm their body,3,"If someone wants to use a natural gas in order to assist something necessary, they can"
poor conductor of heat,good conductor of heat,low flexibility,high flexibility,1,Which physical property is important to have in a material used in cookware?
cell wall,nucleus,chloroplast,mitochondrion,0,Which cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?
learned,found,instinctive,given,2,Knowing what to do without ever being taught is known as
warm lights that float,made out of nitrate,great balls of gas burning billions of miles away,lights in the sky,2,Stars are
less,more,more electric,slower cars,0,Newer hybrid cars will have what effect on the gas usage in the world over time?
decrease in weight,increase in weight,decrease in length,increase in length,3,What happens to metal railroad tracks during the heat of a summer day?
is released,is eaten,is born,is burned,0,Death begins for a leaf the second it
a noggin,in space,on the moon,on Jupiter,0,Where might you find a bug that has an incomplete metamorphosis
gauge local rainfall amounts.,study the area's geological history.,predict the severity of earthquakes.,show the surface features of an area.,3,One of the functions of a topographic map is to
type of soil and salinity,nitrate levels and turbidity,human consumption and pH,natural disasters and tidal changes,1,Which factors can have the greatest effect on the health of a river system?
must remain dry to function,will dry out unless they are soaked in water,depend on abundance amounts of water vapor,need to be kept wet,0,High humidity can damage materials which
gravel,sand,silt,clay,3,"Which of these particles, when found in soil, contributes most to the water retention in soil?"
sand,lava,sucrose,water,2,What stimulants taste buds sour and
the lake to dry up.,algae to grow in the lake.,the lake to become deeper.,water in the lake to become solid.,1,Runoff from farms that use fertilizers is entering a small lake. This will most directly affect the lake by causing
a brass sheet,a wool cap,a rubber duck,a plastic ball,0,"If a person wants to move heat quickly, they could use the sun's warmth. The best thing for absorbing it would be"
acclimated,celebrated,hunted,destroyed,3,The building of a hotel caused many species to be
salt and oyster crackers,lettuce and roma tomato,coffee and hazelnut cream,whole milk and cheese,2,"If substances are combined by pouring them together, they'll mix, such as"
hydrochloric acid and sodium carbonate,"sodium chloride, carbon dioxide, and water",hydrogen chloride and sodium bicarbonate,"sodium chloride, carbon monoxide, and dihydrogen oxide",1,What are the names of the products in the chemical equation shown below? HCl + NaHCO_{3} -> NaCl + CO_{2} + H_{2}O
mad,old,alive,dead,2,"Humans are like monkeys in a lot of ways, besides sharing a lot of the same DNA, their babies are birthed"
Revise the solution.,Describe the problem.,Test the possible solutions.,Identify possible solutions.,1,Which is the first step in a design process?
ice sculpture,glass of water,flowing rivers,water falls,0,Freezing point is best represented by
it's a lame Turkish professor in a third rate Pennsylvanian college,it's covered in polar snow ice,it wants to make a Grizzly bear jealous,its parents had white fur,3,A polar bear is white because
organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system,3,Which sequence lists the levels of organization in the human body from simplest to most complex?
live longer,flourish,thrive,acquire characteristics,3,"If a bird lives in a dangerous place with fires and predators, a bird will likely"
photosynthesis,condensation,respiration,transpiration,3,Which process allows green plants to control the amount of water stored in their leaves?
something from space entered the atmosphere,a lizard built the hole,the moon's gravity pulled sand out of the hole,a dust storm filled it in,0,A 40 foot wide hole is found in the dessert. It's shaped like a ball had hit it. What could have happened?
heightening,lessening,abundance,growth,1,"If a new predator begins eating prey, what will happen to the preys population?"
with the instinct,are too lazy,seventeen,without the instinct,3,The animals that never migrate never do so because they were born
guesses,opinions,arguments,observations,3,Which serve as evidence for a scientific theory?
cheetah,penguin,hippopotamus,snake,1,Fish are quickly caught in water because of the webbed feet possessed by a
crust,mantle,inner core,outer core,2,Which of the following Earth layers has the greatest density?
radiation.,conduction.,convection.,thermal expansion.,0,Energy from the Sun reaches Earth by
camouflage,hibernation,migration,movement,0,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of
cartoons,forests,lunch,Christmas,3,"The earth has continents that experience different things at different times, depending on where on Earth's axis it is, such as"
